ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745480631.54067,CsrhT43nZu0TaVkMNc,192.168.1.27,53234,136.243.39.44,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480626.616908,C0Lpne4NAUmC5TN1Mi,192.168.1.27,37882,31.13.95.13,443,tcp,-,0.168193,0,77286,RSTO,T,F,0,^hCacdCcftR,2,80,16,5296,-,BENIGN
1745480631.541415,CkLV9Z3gjWXgkeHTr2,192.168.1.27,48728,185.184.8.90,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480631.790219,CuareB2pNhpPCPz9rf,192.168.1.27,58404,52.196.7.28,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.036342,CLATSF2lY04iNcYco3,192.168.1.27,45726,172.67.75.241,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.036082,C2MLAe2LrhpDUbJws2,192.168.1.27,45724,172.67.75.241,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.197526,CSf4SA4znHPo3h87M7,192.168.1.27,37956,23.38.195.153,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.229739,CpawJl48Tk4O1K1Xva,192.168.1.27,37962,23.38.195.153,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.231491,CY4nf4IWI3Lh84ETl,192.168.1.27,33502,35.190.39.111,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.231634,CWXmYyJLjBVK9U7f7,192.168.1.27,33510,35.190.39.111,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.198162,CQDjKLZkFHTx0hFTb,192.168.1.27,45742,172.67.75.241,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.313933,CeWp9U3XGZwrwR3CP2,192.168.1.27,35000,18.136.127.160,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.313777,C9boV93FOllzs4o5Wf,192.168.1.27,34988,18.136.127.160,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.35607,CACgv41DhODjyHDTo9,192.168.1.27,40212,182.161.73.136,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.41229,CwamMK2fysFt3I8FYl,192.168.1.27,40228,182.161.73.136,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480626.76388,CNaqq01oejHG79Xs08,192.168.1.27,32812,143.244.49.179,443,tcp,-,0.865403,25,6351,RSTO,T,F,0,^hCacdCRfRR,3,120,9,2371,-,BENIGN
1745480632.247431,Cw12TpyKNxOkuIITj,192.168.1.27,46106,172.240.45.81,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.548602,CjCrA91w5PMLUj4OEe,192.168.1.27,37634,142.251.12.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.610474,Ci6mrA3PFbeJ7tEaSc,192.168.1.27,40242,182.161.73.136,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
