ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745488732.184557,CUMvbFMwEUF9QaLOa,192.168.1.27,33078,34.98.64.218,443,tcp,-,170.727180,0,939,SHR,T,F,0,^hCadCf,0,0,14,1675,-,BENIGN
1745488899.302539,CoCgzC2L5EE8deE5G9,192.168.1.10,5353,224.0.0.251,5353,udp,dns,0.770685,796,0,S0,T,F,0,D,6,964,0,0,-,BENIGN
1745488899.304235,CFnuefsZqFrkL7pW,fe80::335e:8c8:8d2d:e67c,5353,ff02::fb,5353,udp,dns,0.770766,796,0,S0,T,F,0,D,6,1084,0,0,-,BENIGN
1745488736.077614,CWyA9i1Q80SF3r68x4,192.168.1.27,53624,104.22.51.178,443,tcp,-,170.944390,0,3863,SHR,T,F,0,^hCadCf,0,0,18,4807,-,BENIGN
1745488736.525535,CLXGmK25vFkFxjBbu2,192.168.1.27,53446,104.18.26.216,443,tcp,-,170.539639,0,3199,SHR,T,F,0,^hCadCf,0,0,16,4039,-,BENIGN
1745488736.546152,CH5py01SBUhiMjRYek,192.168.1.27,53456,104.18.26.216,443,tcp,-,170.566156,0,1996,SHR,T,F,0,^hCadCf,0,0,14,2732,-,BENIGN
1745488736.479949,CuL3bQ1h71XKq7Bhg1,192.168.1.27,57970,18.64.41.63,443,tcp,-,170.716807,0,1012,SHR,T,F,0,^hCadCf,0,0,18,1956,-,BENIGN
1745488559.854564,CYAFei2cMA2sCaaVmb,192.168.1.27,56914,35.186.253.211,443,tcp,-,349.295128,0,2571,SHR,T,F,0,^hCadCf,0,0,45,4967,-,BENIGN
1745488736.966193,C7DSid3Xp13Gb9LqS8,192.168.1.27,46716,185.184.8.90,443,tcp,-,172.365362,0,4365,RSTR,T,F,0,^hCacdCftRr,2,80,18,2405,-,BENIGN
1745488746.620247,CI0QaW2V2LjdH3mw1k,192.168.1.27,43488,69.173.158.64,443,tcp,-,163.000996,0,9967,SHR,T,F,0,^hCadCfA,1,52,30,11535,-,BENIGN
1745488739.82049,CPBaVj1kRcssSK75mf,192.168.1.27,52330,146.75.45.229,443,tcp,-,170.110294,0,5229,RSTO,T,F,0,^hCacdCftRRRR,5,200,16,1007,-,BENIGN
1745488739.429154,CmrwPb18ix8rr5g9Za,192.168.1.27,47618,104.22.52.86,443,tcp,-,170.535335,0,32050,SHR,T,F,0,^hCacdCf,0,0,23,13426,-,BENIGN
1745488555.89915,CkNcCW1WvPmARGMSV8,192.168.1.27,40660,172.240.45.70,443,tcp,-,61.001316,0,5431,RSTRH,T,F,0,^hCacdCfr,0,0,17,3407,-,BENIGN
1745488917.343788,CklSxE3DXEHX05uQ3b,192.168.1.27,53564,36.91.231.59,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488918.091765,C0G3cnXbpy8BUovt9,192.168.1.27,56220,199.232.46.62,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488910.684284,CiAwuF2q97s9fxEWt,192.168.1.27,59485,118.98.115.70,53,udp,dns,0.006289,0,229,SHR,T,F,0,Cd,0,0,1,257,-,BENIGN
1745488910.685368,CFK3hg3tjNt93OllZh,192.168.1.27,34472,118.98.115.70,53,udp,dns,0.005205,0,255,SHR,T,F,0,Cd,0,0,1,283,-,BENIGN
1745488910.691988,C0jZb34Mex6KOYrW37,192.168.1.27,38965,118.98.115.70,53,udp,dns,0.007743,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745488910.814606,CPB7jn3IPJFDM4B9gf,192.168.1.27,35606,118.98.115.70,53,udp,dns,0.004664,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745488911.71305,CLpbqE4kmEbRTjUH94,192.168.1.27,58556,118.98.115.70,53,udp,dns,0.004625,0,72,SHR,T,F,0,Cd,0,0,1,100,-,BENIGN
1745488802.172645,CqZrM217lrBPRKioid,192.168.1.27,39112,36.64.250.212,443,tcp,-,115.804000,0,285485,SHR,T,F,0,^hCacdCfA,1,52,47,250264,-,BENIGN
1745488918.112455,CbBraa3TY9E2GQuoP9,192.168.1.27,56220,199.232.46.62,443,tcp,-,0.497362,1,3891,RSTO,T,F,0,^hCacdCftRR,4,160,13,1695,-,BENIGN
1745488915.181425,CN6kBIPawzdjSzhwd,192.168.1.27,36866,118.98.115.70,53,udp,dns,0.004792,0,80,SHR,T,F,0,Cd,0,0,1,108,-,BENIGN
1745488925.521657,CPJ6cR30TMGXJTROr8,192.168.1.27,35014,103.102.166.224,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488857.065328,Cs9cxT3WVEZBJK1HCh,192.168.1.18,36559,239.255.255.250,1900,udp,-,10.032639,990,0,S0,T,F,0,D,6,1158,0,0,-,BENIGN
1745488917.269685,CaIF2F1TfQSPucVBD5,192.168.1.27,43472,118.98.115.70,53,udp,dns,0.004476,0,193,SHR,T,F,0,Cd,0,0,1,221,-,BENIGN
1745488917.270136,CEhASCY2ktMJYZejj,192.168.1.27,39568,118.98.115.70,53,udp,dns,0.004866,0,105,SHR,T,F,0,Cd,0,0,1,133,-,BENIGN
1745488917.859351,C0UBq11ciWe7z8mAjh,192.168.1.27,40776,118.98.115.70,53,udp,dns,0.231820,0,106,SHR,T,F,0,Cd,0,0,1,134,-,BENIGN
1745488867.949985,CKLXYn4zyv2DvJzDgc,192.168.1.10,59534,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,153,0,0,-,BENIGN
1745488917.348268,CSvCUZ2x4k7GsAGp63,192.168.1.27,53564,36.91.231.59,443,tcp,-,5.914795,0,597,RSTO,T,F,0,^hCadftR,2,80,8,1021,-,BENIGN
1745488918.488565,CCoR8J2jTuhytBWux8,192.168.1.27,32814,118.98.115.70,53,udp,dns,0.005406,0,88,SHR,T,F,0,Cd,0,0,1,116,-,BENIGN
1745488918.489097,Cwqu2FM77rMzDOap8,192.168.1.27,48752,118.98.115.70,53,udp,dns,0.004875,0,153,SHR,T,F,0,Cd,0,0,1,181,-,BENIGN
1745488918.494849,Cp7nHm3aaYrOSWIWWe,192.168.1.27,42930,118.98.115.70,53,udp,dns,0.072008,0,132,SHR,T,F,0,Cd,0,0,1,160,-,BENIGN
1745488928.574334,Cc8PzK3F302abBQF62,192.168.1.27,60928,118.98.95.192,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488928.624481,CRYM0V3GAzDnQMgVvc,192.168.1.27,60942,118.98.95.192,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488595.270153,CT8m1kf6dqIbS2GBj,192.168.1.27,49926,142.251.10.154,443,tcp,-,329.011271,0,25862,SHR,T,F,0,^hCacdCf,0,0,57,17670,-,BENIGN
1745488919.836174,CLslEV2B7Ek5Af9S9l,fe80::4223:43ff:fe8a:a091,5353,ff02::fb,5353,udp,dns,0.409170,715,0,S0,T,F,0,D,4,907,0,0,-,BENIGN
1745488919.836174,Cmsez64NzbQ5unj26b,192.168.1.18,5353,224.0.0.251,5353,udp,dns,0.314544,691,0,S0,T,F,0,D,4,803,0,0,-,BENIGN
1745488666.214521,CLVcwv45nzR71Kkspg,192.168.1.27,45744,203.190.242.102,443,tcp,-,259.109660,0,206707,SHR,T,F,0,^hCadtcCctCf,0,0,85,83986,-,BENIGN
1745488925.541159,CVEsqJGPACUBYjlW9,192.168.1.27,35014,103.102.166.224,443,tcp,-,0.229846,1,5434,RSTO,T,F,0,^hCcdCfatRR,4,160,10,3082,-,BENIGN
1745488769.852036,Cm07yv3z3ZBiArGDW3,192.168.1.27,38397,35.186.224.28,443,udp,-,101.710819,0,36682,SHR,T,F,0,CdC,0,0,80,38922,-,BENIGN
1745488922.287077,Ca8AnqK8hcH1NIav2,192.168.1.27,45495,118.98.115.70,53,udp,dns,0.005553,0,334,SHR,T,F,0,Cd,0,0,1,362,-,BENIGN
1745488922.287264,CoF35Sis9VdPFE5jl,192.168.1.27,52748,118.98.115.70,53,udp,dns,0.006594,0,190,SHR,T,F,0,Cd,0,0,1,218,-,BENIGN
1745488694.959217,Cdjm702XyKb8KyFYgi,192.168.1.27,48146,207.65.33.78,443,tcp,-,232.367803,25,5310,RSTO,T,F,0,^hCacdCftRRR,5,200,33,2554,-,BENIGN
1745488756.918742,C4YdnW36h81QsfKvAf,192.168.1.27,53572,216.169.156.30,443,tcp,-,171.680287,0,4355,RSTR,T,F,0,^hCacdCftRr,2,80,19,2447,-,BENIGN
1745488938.3586,CsrJ7A3yeB1vtM7Toa,192.168.1.27,53312,118.97.159.33,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488928.424156,CSBisKsoe4IzrLw76,192.168.1.27,51420,118.98.115.70,53,udp,dns,0.006093,0,142,SHR,T,F,0,Cd,0,0,1,170,-,BENIGN
1745488928.424429,CxGmDB1RuraWgqnJn7,192.168.1.27,40013,118.98.115.70,53,udp,dns,0.006345,0,168,SHR,T,F,0,Cd,0,0,1,196,-,BENIGN
1745488928.42618,CLMg9IHNzIEtHQm6,192.168.1.27,47080,118.98.115.70,53,udp,dns,0.005089,0,168,SHR,T,F,0,Cd,0,0,1,196,-,BENIGN
1745488928.431681,CPK3Ie472Mg5Cr4pX1,192.168.1.27,41545,118.98.115.70,53,udp,dns,0.037023,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745488928.432283,CrEPhv2aScE0MOCnKk,192.168.1.27,58293,118.98.115.70,53,udp,dns,0.006610,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745488928.63124,CHfVct4Aj1k1OnhFv3,192.168.1.27,60942,118.98.95.192,443,tcp,-,5.888942,0,581,RSTO,T,F,0,^hCadftR,2,80,9,1057,-,BENIGN
1745488692.42196,CguNWu2MIQ2mgagEdc,192.168.1.27,34366,142.251.175.139,443,tcp,-,243.135254,0,86857,SHR,T,F,0,^hCacdtCcf,0,0,52,21539,-,BENIGN
1745488769.964477,CCVBO81Bd4zpgJ3m32,192.168.1.27,57148,35.186.224.28,443,tcp,-,170.572945,0,939,SHR,T,F,0,^hCadCf,0,0,13,1623,-,BENIGN
1745488946.119582,CFd8qb95UxE92OTf7,192.168.1.27,38062,118.98.95.176,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488767.112638,CauQDY38lm21ANZmq3,192.168.1.27,58938,74.125.130.156,443,tcp,-,174.465857,0,18737,SHR,T,F,0,^hCacdCf,0,0,50,12987,-,BENIGN
1745488549.626647,CCTlFG3c1Qk8Cx7PE,192.168.1.27,44728,104.18.9.100,443,tcp,-,392.014651,0,51809,SHR,T,F,0,^hCadCcCf,0,0,117,29890,-,BENIGN
1745488946.900354,CpjyQs4MDbtdHyFsWd,192.168.1.27,50344,118.98.95.186,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488937.605371,CSRMkDAkXIR3MQxGg,192.168.1.27,41651,118.98.115.70,53,udp,dns,0.019084,0,120,SHR,T,F,0,Cd,0,0,1,148,-,BENIGN
1745488937.605672,CGxvgx23cx6RubDyql,192.168.1.27,36155,118.98.115.70,53,udp,dns,0.005666,0,132,SHR,T,F,0,Cd,0,0,1,160,-,BENIGN
1745488948.138819,CemXK11eEqaPVmViSg,192.168.1.27,33610,118.97.159.33,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488938.363221,CzjC0D3IO4hFSL4H4e,192.168.1.27,53312,118.97.159.33,443,tcp,-,5.163741,1,597,RSTO,T,F,0,^hCadRfR,3,120,9,1073,-,BENIGN
1745488948.671523,CN3GSA1pOvEsjsTXE2,192.168.1.27,49012,23.38.195.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488948.913376,CtH4hy49pkXimYZa7j,192.168.1.27,42212,118.98.95.194,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488948.923246,CnweHP1YWORZMkGJKe,192.168.1.27,42218,118.98.95.194,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488888.837453,CN8RlYzSAayPAwax3,192.168.1.27,46931,74.125.130.95,443,udp,-,0.213086,0,5229,SHR,T,F,0,Cd,0,0,12,5565,-,BENIGN
